Thin, Square Face, Ebony Skin, Wide Nose, Heart-shaped Lips, Pointed Chin, Fuchsia cream lipstick, sunglasses, Frizzy Hair Long Hair Ponytail
Thin, Diamond-Shaped Face, Dark Skin, Straight Nose, Bow-shaped Lips, Sharp Chin, Magenta matte lipstick, bow, Curly Hair Long Hair Updo
In shape, Square Face, Tan Skin, Short Nose, Plump Lips, Pointed Chin, Magenta matte lipstick, barrette, Frizzy Hair Long Hair Bun
In shape, Triangular Face, Medium Skin, Narrow Nose, Heart-shaped Lips, Square Chin, Fuchsia matte lipstick, jewelry, Straight Hair Medium-Length Hair Braids
Athletic, Diamond-Shaped Face, Light Skin, Long Nose, Pouty Lips, Prominent Chin, Bronze metallic lipstick, hair tie, Silky Hair Shoulder-Length Hair Bangs
Lean, Heart-Shaped Face, Caramel Skin, Wide Nose, Thick Lips, Prominent Chin, Rose cream lipstick, rings, Frizzy Hair Medium-Length Hair Curls
Fit, Triangular Face, Caramel Skin, Straight Nose, Heart-shaped Lips, Round Chin, Burgundy glossy lipstick, earrings, Silky Hair Long Hair Bob
Firm, Triangular Face, Olive Skin, Narrow Nose, Plump Lips, Square Chin, Fuchsia metallic lipstick, rings, Coarse Hair Medium-Length Hair Curls
Firm, Oval Face, Dark Skin, Long Nose, Thick Lips, Prominent Chin, Burgundy sheer lipstick, bobby pin, Coarse Hair Medium-Length Hair Updo
Athletic, Square Face, Porcelain Skin, Short Nose, Full Lips, Pointed Chin, Magenta matte lipstick, clip, Thick Hair Shoulder-Length Hair Waves
In shape, Round Face, Bronze Skin, Long Nose, Full Lips, Pointed Chin, Red glossy lipstick, headband, Coarse Hair Long Hair Ponytail
Slim, Oval Face, Porcelain Skin, Wide Nose, Bow-shaped Lips, Sharp Chin, Plum glossy lipstick, jewelry, Frizzy Hair Long Hair Waves
In shape, Oval Face, Bronze Skin, Wide Nose, Plump Lips, Square Chin, Beige matte lipstick, hat, Fine Hair Long Hair Curls
Thin, Square Face, Light Skin, Short Nose, Thick Lips, Receding Chin, Magenta metallic lipstick, bracelet, Frizzy Hair Shoulder-Length Hair Bangs
Firm, Triangular Face, Caramel Skin, Curved Nose, Thin Lips, Square Chin, Plum cream lipstick, headband, Straight Hair Long Hair Curls
Firm, Diamond-Shaped Face, Caramel Skin, Curved Nose, Thin Lips, Receding Chin, Peach cream lipstick, headband, Silky Hair Medium-Length Hair Bun
Fit, Round Face, Fair Skin, Straight Nose, Thin Lips, Cleft Chin, Violet sheer lipstick, jewelry, Silky Hair Medium-Length Hair Updo
In shape, Diamond-Shaped Face, Medium Skin, Straight Nose, Pouty Lips, Prominent Chin, Magenta sheer lipstick, flower, Kinky Hair Medium-Length Hair Bangs
Toned, Triangular Face, Porcelain Skin, Curved Nose, Bow-shaped Lips, Receding Chin, Beige glossy lipstick, jewelry, Fine Hair Medium-Length Hair Bangs
