Flared pants with a matching blazer and pointy-toe flats, Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, (peek-a-boo):1.7, (bra outline):1.1
Short dresses, White Lace Bralette and Boyshorts Set, Countess, Tall, Fit, Heart-Shaped Face, Olive Skin, Brunette Hair, teal Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Fishtail Braid, small breasts, Cuff earrings, orange gloss lipstick, (peek-a-boo):1.6, (bra outline):1.1
Cropped ankle pants with a tailored jacket and blouse, Black Sheer Teddy with Floral Applique, Temptress, Average Height, Slim, Oval Face, Tan Skin, Chestnut Hair, coral Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fauxhawk, natural breasts, Threader earrings, light pink gloss lipstick, (peek-a-boo):1.5, (bra outline):0.8
Wrap dresses, Black Mesh Bodysuit with Embroidered Flowers, Seductress, Tall, Firm, Round Face, Dark Skin, Red Hair, green Eyes, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Blunt Bangs, round breasts, Dangle earrings, berry metallic lipstick, (peek-a-boo):1.2, (bra outline):1.2
Jumpsuits, Pink Lace Garter Slip with Matching Thong, Female Viking, Short, Wide Hips, Square Face, Dark Skin, White Hair, gold Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Double Braided Crown, soft breasts, Drop earrings, black gloss lipstick, (peek-a-boo):1.4, (bra outline):1.2
Wrap dresses, Purple Velvet Bra and Panty Set with Lace Trim, Goddess, Short, in shape, Square Face, Dark Skin, Blonde Hair, green Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Swept Bangs, firm breasts, golden satin lipstick, (peek-a-boo):1.5, (bra outline):0.8
Shift dress with a blazer, Silver Silk Bra and Panty Set with Garter Belt, Phenom, Tall, Firm, Diamond-Shaped Face, Fair Skin, Gray Hair, Blue Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Low Ponytail, asymmetrical breasts, Dangle earrings, red stain lipstick, (peek-a-boo):1.6, (bra outline):1.0
Shift dress with a blazer, Navy Blue Satin Garter Belt with Suspenders , Vixen, Tall, Thin, Diamond-Shaped Face, Fair Skin, Golden Blonde Hair, Blue Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Low Chignon, perky breasts, green satin lipstick, (peek-a-boo):1.3, (bra outline):0.8
Caftans, Navy Blue Satin Garter Belt with Suspenders , Escort, Tall, Toned, Oval Face, Fair Skin, Auburn Hair, Green Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Low Messy Bun, small breasts, Threader earrings, golden gloss lipstick, (peek-a-boo):1.0, (bra outline):0.9
Printed pants with a tucked-in blouse and cropped blazer, Blue Sheer Babydoll with Satin Trim, Miss, Short, Wide Hips, Heart-Shaped Face, Olive Skin, Auburn Hair, Hazel Eyes with Green Flecks, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Straight Bob, natural breasts, Faux gauge earrings, golden gloss lipstick, (peek-a-boo):1.8, (bra outline):1.1
A-line midi skirt with a silk blouse and pumps, Green Satin Robe with Lace Trim, Woman, Tall, Athletic, Oval Face, Tan Skin, Auburn Hair, yellow Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Straight Bob with Layers, firm breasts, Huggie earrings, pink sheer lipstick, (peek-a-boo):1.8, (bra outline):1.2
